id,restaurant_name,original_location,country,region,province,city,meals,cuisines,special_diets,features,avg_rating,total_reviews_count
0,The Oystercatcher,"[""Europe"", ""France"", ""Brittany"", ""Ille-et-Vilaine"", ""Saint Marcan""]",France,Brittany,Ille-et-Vilaine,Saint Marcan,Dinner,"Bar, British, Pub",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Table Service",5.0,115.0
1,La Grand’Vigne,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Martillac""]",France,Nouvelle-Aquitaine,Gironde,Martillac,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",4.5,494.0
2,Au Bon Accueil,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Dordogne"", ""Limeuil""]",France,Nouvelle-Aquitaine,Dordogne,Limeuil,"Lunch, Dinner","French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Accepts Credit Cards, Table Service",4.5,651.0
3,Restaurant Cote Place,"[""Europe"", ""France"", ""Corsica"", ""Corse-du-Sud"", ""Ota"", ""Porto""]",France,Corsica,Corse-du-Sud,Porto,"Breakfast, Dinner, After-hours, Drinks","Seafood, French, Bar, Mediterranean, European",Vegetarian Friendly,"Delivery, Validated Parking, Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service, Wheelchair Accessible, Free Wifi",4.5,749.0
4,Le 2134 Les Arcs,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Bourg Saint Maurice"", ""Les Arcs""]",France,Auvergne-Rhone-Alpes,Savoie,Les Arcs,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,216.0
5,Chalet Grillette,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Bourg Saint Maurice"", ""Les Arcs""]",France,Auvergne-Rhone-Alpes,Savoie,Les Arcs,Lunch,"French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Digital Payments, Reservations, Highchairs Available, Full Bar, Accepts Credit Cards, Table Service",4.5,382.0
6,Le Bistro Fleuri,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Deauville"", ""Villerville""]",France,Normandy,Basse-Normandie,Villerville,"Lunch, Dinner","International, Wine Bar, French, European, British",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Table Service, Takeout, Parking Available, Free Wifi",4.5,181.0
7,Vapiano Disney Village,"[""Europe"", ""France"", ""Ile-de-France"", ""Seine-et-Marne"", ""Marne-la-Vallee"", ""Chessy""]",France,Ile-de-France,Seine-et-Marne,Chessy,"Lunch, Dinner, After-hours, Drinks","French, Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Wine and Beer",3.5,1196.0
8,Puycelsi Roc Cafe,"[""Europe"", ""France"", ""Occitanie"", ""Tarn"", ""Puycelci""]",France,Occitanie,Tarn,Puycelci,"Lunch, Dinner, Brunch","French, Cafe, European, Grill","Vegetarian Friendly, Vegan Options","Wheelchair Accessible, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service, Parking Available, Free Wifi",4.0,288.0
9,Le Blanc Nez,"[""Europe"", ""France"", ""Hauts-de-France"", ""Pas-de-Calais"", ""Sangatte""]",France,Hauts-de-France,Pas-de-Calais,Sangatte,"Lunch, Dinner, After-hours","French, Seafood, European","Vegetarian Friendly, Gluten Free Options","Serves Alcohol, Full Bar, Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",4.5,446.0
10,The Stone Bar,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Haute-Savoie"", ""Chamonix"", ""Argentiere""]",France,Auvergne-Rhone-Alpes,Haute-Savoie,Argentiere,"Lunch, Dinner, After-hours, Drinks","Bar, Pizza, Italian","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,168.0
11,L'Auberge du Vieux Château,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Grasse"", ""Cabris""]",France,Provence-Alpes-Cote d'Azur,French Riviera - Cote d'Azur,Cabris,"Lunch, Dinner","French, Mediterranean, European","Vegetarian Friendly, Vegan Options","Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",4.5,660.0
