id,title,reviews
42143,Dream City,"[['142690', '2.0']]"
46978,Polyanka Wine,"[['194185', '9.7']]"
31850,Планета Космос,"[['88361', '8.0']]"
48379,Garum,"[['199329', '10']]"
30980,Последняя капля,"[['165584', '8.0'], ['165585', '8.7'], ['141831', '8.3']]"
30661,Martinez,"[['86674', '8.0'], ['86727', '9.3'], ['86603', '9.0']]"
34051,Макото,"[['145348', '10'], ['90450', '10'], ['142991', '10'], ['138466', '10'], ['136826', '1.0'], ['116143', '10'], ['108367', '10'], ['86698', '8.3'], ['86620', '8.3'], ['86432', '8.0']]"
34956,Лобби-бар,"[['155980', '8.7'], ['155981', '9.0'], ['148236', '7.0'], ['148235', '7.0']]"
37339,Lubeer,"[['100264', '8.3'], ['99895', '10']]"
31112,I Love Cake,"[['175650', '10'], ['152127', '6.7']]"
42498,Lure Oyster Bar,"[['171075', '8.3'], ['150015', '10']]"
35685,Каспий,"[['98974', '9.0'], ['98470', '9.0'], ['87195', '9.3']]"
30487,El Asador,"[['89673', '9.7'], ['87787', '8.7']]"
33786,Пекин,"[['121668', '9.0'], ['121866', '9.3'], ['121867', '8.3'], ['100846', '8.7'], ['92483', '8.0']]"
30682,Кофемания,"[['172001', '9.3'], ['150025', '6.0'], ['141504', '8.0'], ['124770', '8.3'], ['85795', '9.7'], ['85794', '9.7']]"
30774,Квартира 44,"[['93319', '10'], ['90351', '8.5'], ['84525', '7.7']]"
36070,Blueberry Haze,"[['150692', '9.0'], ['124094', '10'], ['124049', '9.7'], ['121789', '9.3'], ['121720', '9.7'], ['119130', '9.7'], ['111941', '10']]"
31035,Восточный квартал,"[['86698', '8.7'], ['86384', '9.0'], ['86360', '8.7']]"
30746,Венеция,"[['94038', '9.3'], ['86631', '8.7']]"
31236,Bourbon Street,"[['186714', '7.7'], ['186314', '7.7'], ['186033', '8.0'], ['181181', '8.3'], ['180974', '8.0'], ['89832', '7.5']]"
30822,Bistrot,"[['86957', '10'], ['84177', '8.7']]"
34530,Белый,"[['120468', '8.0'], ['120583', '8.7'], ['119793', '7.7'], ['120683', '7.3'], ['87049', '9.0']]"
46476,Bazar Mangal,"[['191961', '10'], ['191464', '10'], ['188830', '10'], ['188039', '1.7']]"
39322,Палисад,"[['96317', '8.3'], ['100194', '10']]"
32467,Купец,"[['180067', '10'], ['119246', '8.3'], ['119238', '7.7'], ['119239', '8.7'], ['119245', '7.7'], ['84344', '8.3']]"
31100,Oblaka,"[['192087', '1.0'], ['172989', '7.0'], ['170928', '10'], ['170988', '10'], ['170852', '8.7'], ['153196', '9.3'], ['152428', '8.7'], ['152319', '8.0'], ['149261', '8.0'], ['110460', '10'], ['141847', '10'], ['141764', '9.3'], ['112729', '7.0'], ['141122', '10'], ['140143', '10'], ['139559', '9.7'], ['139188', '9.3'], ['138741', '10'], ['138724', '10'], ['138243', '10'], ['138055', '10'], ['137154', '10'], ['137021', '10'], ['136694', '10'], ['136599', '4.0'], ['101790', '9.0'], ['101792', '8.7'], ['114265', '8.0'], ['114142', '8.3'], ['88083', '8.0']]"
37872,Оттепель,"[['177985', '7.7'], ['157674', '5.7'], ['154893', '8.7'], ['153789', '9.0'], ['154891', '9.3'], ['151279', '8.3'], ['152329', '9.0'], ['151827', '8.7'], ['151205', '8.0'], ['154892', '9.0'], ['112729', '9.0'], ['138550', '3.7'], ['117193', '8.7'], ['117060', '8.0'], ['114459', '8.0'], ['114194', '9.0'], ['92536', '10']]"
41173,Нью-Йорк пицца и гриль,"[['114342', '8.7'], ['109148', '10'], ['111081', '9.3'], ['101487', '10'], ['100938', '9.3']]"
37728,Mercedes Bar,"[['121063', '9.0'], ['119981', '7.7'], ['119843', '8.3'], ['118774', '9.0'], ['119841', '9.0']]"
40479,Кирин,"[['195841', '5.5'], ['170608', '10'], ['138982', '8.0'], ['115739', '10'], ['111772', '9.3'], ['110111', '10'], ['110075', '9.7'], ['108629', '10'], ['109739', '9.7'], ['109671', '9.7'], ['109665', '10'], ['109232', '9.3'], ['109248', '10'], ['109119', '10'], ['106809', '9.3'], ['106587', '2.3'], ['105684', '10'], ['105614', '10'], ['105608', '9.7'], ['105605', '9.3'], ['105459', '10'], ['105379', '9.3'], ['105341', '9.7'], ['105329', '9.7']]"
31193,Капри,"[['90240', '9.3'], ['87166', '8.3']]"
36283,Никола Тесла,"[['121866', '9.0'], ['121669', '9.0'], ['121420', '9.0'], ['121867', '8.7'], ['85953', '9.7']]"
33517,Enjoy Life,"[['173170', '7.7'], ['170466', '10'], ['160400', '10'], ['168604', '10'], ['115539', '10']]"
35473,Дирижабль,"[['194106', '2.0'], ['140517', '9.3'], ['140371', '8.0'], ['140516', '9.7'], ['140335', '7.7'], ['139793', '9.0'], ['139722', '8.0']]"
30952,Дионис,"[['145580', '8.7'], ['145581', '9.0'], ['141200', '8.3'], ['141112', '7.7'], ['113706', '10']]"
33584,John Gilroy’s,"[['187506', '9.3'], ['140282', '5.3'], ['134185', '9.0'], ['134184', '9.0'], ['134183', '9.0'], ['134182', '8.3'], ['134113', '8.7']]"
31595,White Café,"[['90763', '8.7'], ['86960', '8.0'], ['84423', '8.3']]"
34640,The Loft,"[['101701', '10'], ['88059', '8.0']]"
