id,title,reviews
35029,Скала,"[['147146', '10']]"
32882,Найт флайт,"[['92240', '9.0']]"
32260,Miraclub,"[['202018', '10']]"
31362,Лимончино,"[['102583', '10']]"
33046,Листок,"[['84186', '7.7']]"
34109,Лоза,"[['84177', '7.3']]"
35658,Меридиан,"[['141371', '10']]"
47476,Kosyak,"[['196518', '9.7']]"
32798,Консул,"[['89193', '9.3']]"
36766,Comedy Cafe,"[['105946', '9.7']]"
33169,Клюква в сахаре,"[['89033', '8.0']]"
34281,Club le Chateau,"[['139159', '10']]"
42024,Клюшка,"[['167216', '6.7']]"
38382,Like Shisha / Кальянный клуб №1,"[['112300', '10'], ['111926', '10'], ['111915', '10'], ['111571', '10'], ['111563', '10'], ['111225', '10'], ['111219', '10'], ['110913', '10'], ['110888', '10'], ['110839', '10'], ['110831', '10'], ['110769', '10'], ['110767', '10'], ['110742', '10'], ['110697', '10']]"
34098,Лангуст,"[['106479', '10'], ['105658', '10'], ['103057', '10']]"
34329,Ланчер,"[['145956', '9.7']]"
36197,La scarpetta,"[['86587', '9.0']]"
31105,Craft Republic,"[['89674', '7.7']]"
32237,City,"[['191465', '9.3'], ['191412', '8.0'], ['191352', '9.0']]"
30922,Кофе пью,"[['91515', '8.7']]"
39206,Magnum,"[['101023', '10'], ['103413', '10'], ['103031', '10'], ['102644', '10'], ['102427', '10']]"
37110,Отдых,"[['100850', '9.0']]"
37095,Osteria italiana,"[['113349', '10']]"
32334,На Востоке,"[['109141', '10'], ['98811', '7.3']]"
32241,Montre,"[['89516', '9.3']]"
31574,Molly Malones,"[['99174', '10'], ['90914', '10'], ['90757', '8.7']]"
37557,Небо,"[['119184', '9.0']]"
35462,Проснись и пой,"[['84259', '8.0']]"
30843,Примавера,"[['170065', '3.0']]"
30962,Пикассо,"[['87812', '8.3']]"
44890,Перезагрузия,"[['172547', '2.7']]"
42515,Парк-отель «Орловский»,"[['144213', '10']]"
35504,Tajj Mahal,"[['115708', '9.7']]"
34070,У самолета,"[['145742', '1.3']]"
33102,У Эдуарда,"[['102583', '10']]"
30587,У Сальваторе,"[['87810', '9.0']]"
31569,У Бурчо,"[['90923', '8.0']]"
32689,The Sixties,"[['90972', '7.3']]"
30911,Starlite Diner,"[['110965', '5.3']]"
34149,Старина Мюллер,"[['165873', '2.3']]"
41668,Snooty Fox Pub,"[['117199', '9.5']]"
32828,Red & White,"[['92264', '9.3']]"
35659,Рача,"[['170151', '10']]"
32353,Раздолье,"[['92506', '9.3']]"
47408,Public Cafe,"[['200306', '10'], ['200076', '10']]"
30874,Sally O'Brien’s,"[['166467', '1.3']]"
32944,Пушкарев,"[['92129', '9.0']]"
35482,Русские традиции,"[['140870', '6.7']]"
32974,Романов,"[['92150', '9.0']]"
45107,Richman,"[['169576', '10']]"
44050,Rix,"[['155944', '10']]"
40429,Self Cafe,"[['164976', '1.7'], ['104864', '10']]"
31707,Семь пятниц,"[['90756', '10']]"
33047,Сезам,"[['84525', '7.0']]"
37357,Сам пришел,"[['170014', '10']]"
36716,Сам пришел,"[['92536', '9.0']]"
43362,Hookah Smokers,"[['148821', '10']]"
39869,Hong Kong,"[['97057', '10'], ['101484', '10'], ['114281', '10'], ['99468', '10'], ['102997', '10'], ['103672', '10'], ['103401', '10']]"
34542,Хинкальная,"[['113066', '9.3']]"
43451,Фрак,"[['150900', '10'], ['150899', '10']]"
37184,Фудзи-ко,"[['89393', '9.3'], ['89407', '9.0']]"
41027,Fish Point,"[['116904', '10']]"
33009,Кампус,"[['168305', '6.7'], ['92150', '9.0']]"
33034,Баловень Т,"[['90259', '8.7']]"
43894,Kislovsky,"[['170374', '10']]"
41190,Baklajan,"[['196853', '10'], ['196844', '1.0']]"
31412,Дориан Грей,"[['90260', '7.7']]"
47053,Дом у леса,"[['199920', '10'], ['198630', '10'], ['198629', '10'], ['191245', '9.3']]"
36540,Dolce Look,"[['142084', '10']]"
40016,Делимарше,"[['123749', '9.7']]"
33787,Де Марко,"[['85039', '8.3']]"
34683,Пехорка,"[['104268', '2.0']]"
41888,Поместье-Галс,"[['194331', '9.7']]"
33062,А ля фуршет,"[['89542', '10']]"
32047,Аллегро,"[['89516', '10']]"
35141,Da Pino,"[['122799', '9.7'], ['121229', '10']]"
41910,G&T Gourmet,"[['120343', '10'], ['120291', '10']]"
34752,Гриль-холл,"[['161983', '10']]"
37605,Гранатовый сад,"[['89390', '7.7']]"
33004,Авиньон,"[['89523', '9.3']]"
35432,Виват,"[['122353', '8.3']]"
31755,Вечера на хуторе,"[['89294', '9.7'], ['85407', '10']]"
31683,Верона,"[['85735', '8.0']]"
33322,Горки-10,"[['89183', '9.7']]"
33007,911,"[['92206', '8.3']]"
31571,Генацвале VIP,"[['90756', '9.7']]"
32604,Элит,"[['187365', '10']]"
36119,House Mafia,"[['176139', '10']]"
30520,Чайная высота,"[['90690', '8.7']]"
31036,Цурцум,"[['88351', '10']]"
35138,Vatel,"[['89505', '10']]"
32972,Бюргер,"[['150370', '9.7'], ['90692', '9.3'], ['92150', '9.0']]"
34606,Буревестник,"[['89033', '9.3']]"
31088,Black Market,"[['99597', '10'], ['97250', '8.7'], ['87787', '8.3']]"
31679,Кальян,"[['85864', '8.7']]"
35673,К3,"[['141979', '2.0']]"
35340,Истра,"[['100846', '8.7']]"
36489,Интерпаб,"[['166545', '1.0']]"
34035,Café de arts,"[['150538', '1.0']]"
34351,Casa mia,"[['89036', '7.7']]"
34449,Кардинал,"[['89193', '7.7']]"
30721,Квартира 44,"[['87313', '9.0']]"
40624,Kvartal,"[['88658', '9.7']]"
34388,А.Ф. Кони,"[['144884', '10']]"
44040,Bizone Hookah Жулебино,"[['161732', '7.0']]"
33066,Арт-кафе театра «Буфф»,"[['91618', '8.7']]"
35657,Бобры и утки,"[['90972', '9.3']]"
33120,Биродром,"[['158647', '9.3']]"
33040,Boom Boom Room,"[['198131', '5.7']]"
45748,Галерея Food,"[['172793', '10']]"
35618,31,"[['89247', '9.7']]"
31473,Главпивтрест,"[['90971', '8.0']]"
35935,Whisky Rooms,"[['89033', '10'], ['88350', '10']]"
31991,Гранд Виктория,"[['116942', '10'], ['95052', '10'], ['92515', '9.0']]"
33992,Grano,"[['85900', '9.7']]"
32624,Алаверды,"[['90694', '9.7']]"
46889,ProfiTrolly,"[['199951', '10']]"
32101,Подмосковные вечера,"[['89282', '9.3']]"
44206,Rest,"[['165133', '9.0']]"
37907,Jai Hind,"[['87312', '8.0']]"
33051,Janus,"[['90263', '10']]"
